B000001,C001,S001,2026-07-10 10:00,2026-07-10 11:00,WalkIn,0,Done
B000002,C002,S002,2026-07-10 12:00,2026-07-10 13:00,Online,0,Done
B000003,C003,S003,2026-07-10 14:00,2026-07-10 15:00,WalkIn,0,Done
B000004,C004,S004,2026-07-10 16:00,2026-07-10 17:00,Online,0,Done
B000005,C001,S002,2026-07-12 10:00,2026-07-12 11:00,WalkIn,0,Cancelled
B000006,C002,S003,2026-07-12 12:00,2026-07-12 13:00,Online,0,Done
B000007,C003,S004,2026-07-12 14:00,2026-07-12 15:00,WalkIn,0,Done
B000008,C004,S001,2026-07-12 16:00,2026-07-12 17:00,Online,0,Done
B000009,C001,S003,2026-07-14 10:00,2026-07-14 11:00,WalkIn,0,Done
B000010,C002,S004,2026-07-14 12:00,2026-07-14 13:00,Online,0,Cancelled
B000011,C003,S001,2026-07-14 14:00,2026-07-14 15:00,Online,0,Done
B000012,C004,S002,2026-07-14 16:00,2026-07-14 17:00,WalkIn,0,Done
B000013,C001,S004,2026-07-16 10:00,2026-07-16 11:00,Online,0,Done
B000014,C002,S001,2026-07-16 12:00,2026-07-16 13:00,WalkIn,0,Done
B000015,C003,S002,2026-07-16 14:00,2026-07-16 15:00,Online,0,Done
B000016,C004,S003,2026-07-16 16:00,2026-07-16 17:00,WalkIn,0,Done
B000017,C001,S001,2026-07-17 10:00,2026-07-17 11:00,WalkIn,0,Done
B000018,C002,S002,2026-07-17 11:00,2026-07-17 12:00,WalkIn,0,Done
B000019,C001,S002,2026-07-17 14:00,2026-07-17 15:00,WalkIn,1,Confirmed
B000020,C002,S003,2026-07-17 15:00,2026-07-17 16:00,WalkIn,2,Confirmed
B000021,C003,S004,2026-07-17 16:00,2026-07-17 17:00,WalkIn,3,Confirmed
B000022,C004,S001,2026-07-17 17:00,2026-07-17 18:00,WalkIn,4,Confirmed
B000023,C001,S003,2026-07-17 18:00,2026-07-17 19:00,WalkIn,5,Confirmed
B000024,C002,S004,2026-07-17 19:00,2026-07-17 20:00,WalkIn,6,Confirmed
B000025,C003,S002,2026-07-17 13:00,2026-07-17 14:00,WalkIn,0,Cancelled
B000026,null,S001,2026-07-18 10:00,2026-07-18 11:00,Online,0,Pending
B000027,null,S002,2026-07-19 12:00,2026-07-19 13:00,Online,0,Pending
B000028,null,S003,2026-07-20 14:00,2026-07-20 15:00,Online,0,Pending
B000029,null,S004,2026-07-21 16:00,2026-07-21 17:00,Online,0,Pending
B000030,C001,S003,2026-07-19 13:00,2026-07-19 14:00,Online,0,Confirmed
B000031,C002,S004,2026-07-20 14:00,2026-07-20 15:00,Online,0,Confirmed
B000032,C003,S001,2026-07-21 15:00,2026-07-21 16:00,Online,0,Confirmed
B000033,C004,S002,2026-07-22 16:00,2026-07-22 17:00,Online,0,Confirmed
